source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,district_hint
Press TV,http://www.presstv.ir/detail.aspx?id=27311&sectionid=351020406,311,2007-10-15 00:00:00,,Betbunia,"women and 2 children killed in mudslide, powerful rainstorm affected southeast Bangladesh",Betbunia,5km,mudslide,rain,medium,unknown,3.0,,,,,glc,311.0,Bangladesh,BD,Khulna,37985.0,Phultala,23.346,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,89.4,22.5333,Khulna
The Daily Star,http://www.thedailystar.net/backpage/landslide-kills-3-of-a-family-23595,6020,2014-05-10 09:00:00,, Purba Satchhari village in Sadar upazila,"Meanwhile, at least 24 houses of Purba Satchhari village in Sadar upazila went into the Manu river during the heavy rains. Some electric poles were also damaged, disrupting electricity in some parts of the district.", Purba Satchhari village in Sadar upazila,10km,landslide,rain,medium,unknown,0.0,0.0,,,,glc,6020.0,Bangladesh,BD,Sylhet,57441.0,Maulavi Bāzār,11.04683,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7227,24.5784,Sylhet
The Daily Star,http://www.thedailystar.net/city/woman-killed-in-ctg-landslide-9838#http://www.thedailystar.net/city/woman-killed-in-ctg-landslide-9838,5834,2014-02-03 00:00:00,, Chittagong,A woman was killed and her father-in-law was injured when a large chunk of earth fell on them while they were cutting hills in Paschim Shanti Nagor area of Chittagong city yesterday., Chittagong,5km,landslide,unknown,medium,unknown,1.0,1.0,,,,glc,5834.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.2358,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8123,22.3475,Chittagong
The Daily Star,http://www.thedailystar.net/backpage/landslide-kills-3-of-a-family-23595,6019,2014-05-10 09:00:00,,Borolekha upazila of Moulvibazar,"Three members of a family were killed as a large chunk of earth from a rain-soaked hill fell on a house in Borolekha upazila of Moulvibazar early yesterday. Tofail Ahmed, superintendent of police in Moulvibazar, said the landslide happened anytime after the torrential rain began in the district around 8:00pm on Friday.",Borolekha upazila of Moulvibazar,25km,landslide,rain,small,unknown,3.0,0.0,,,,glc,6019.0,Bangladesh,BD,Sylhet,57441.0,Maulavi Bāzār,8.46607,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7561,24.4136,Sylhet
google,http://www.google.com/hostednews/afp/article/ALeqM5i3_WUJVJikNHFLjBu4U01jZan7zA?docId=CNG.987be94c4c3ccdfdf0d86cb5108c3d3b.3e1,3804,2011-07-19 00:00:00,,"southeastern, DHAKA, Bangladesh","Four killed, 200,000 stranded in Bangladesh floods  (AFP) – Jul 22, 2011   DHAKA — At least four people were killed and more than 200,000 stranded after three days of heavy rains triggered flash floods and landslides in southeastern Bangladesh, officials said Friday.  The government's flood forecasting and warning centre said more than 49 centimetres (19 inches) of rain had pounded the worst-hit Cox's Bazaar district since Wednesday, flooding at least 200 villages in the hilly region.  ""One child was buried under mud due to landslide and three more people were washed away in the huge torrents of water,"" Cox's Bazaar chief district administrator Zainul Bari told AFP.  He said two more people were missing and more than 200,000 had been marooned by the floods, forcing 3,200 families to take shelter in schools, cyclone shelters and on high ground.  Local authorities have distributed emergency relief to those most in need.  Southeastern Bangladesh is prone to deadly flash floods as tens o","southeastern, DHAKA, Bangladesh",50km,landslide,downpour,large,unknown,4.0,,,,,glc,3804.0,Bangladesh,BD,Dhaka,10356500.0,Dhaka,0.15781,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,90.4077,23.7118,Dhaka
Headlines India,http://www.headlinesindia.com/natural-disasters/flood/darjeeling-landslide-toll-reaches-27-12747.html,1027,2009-05-18 08:00:00,,"Sreemangal upazila, Moulvibazer.","Six people, five of them of a family, were killed in landslide triggered by heavy rain in the country's northeastern Moulvibazer district on Monday, police said.  Five of a family died as a chunk of earth from the nearby hill collapsed in a heap on their shanty in the Lakhai tea garden slum located in Sreemangal sub-district, officially known as upazila.  The other died instantly in a landslide in the other tea garden during heavy shower.  Heavy rain in the area on early Monday caused the mudslide that also collapsed many houses rendering a number of people homeless in the remote area, police confirmed.","Sreemangal upazila, Moulvibazer.",10km,mudslide,downpour,medium,unknown,6.0,,,,,test,1027.0,Bangladesh,BD,,5508.0,Kamalpur,16.13337,09/16/2014 05:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7333,24.3083,
blog.taragana,http://blog.taragana.com/n/report-landslides-kill-10-people-in-bangladeshs-southeast-126402/,1064,2009-07-31 00:00:00,,"Lama village, Bandarban district 155 miles (248 kilometers) southeast of the capital Dhaka",The report says huge chunks of earth buried a hillside hut killing five people from the same family in Lama village. Another five people from two families died in a landslide nearby. The landslides caused by heavy rains have killed 10 people in southeastern Bangladesh.,"Lama village, Bandarban district 155 miles (248 kilometers) southeast of the capital Dhaka",5km,landslide,downpour,medium,unknown,10.0,,,,,glc,1064.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,4.48178,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19,22.2251,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1979,2010-06-15 00:00:00,,Cox’s Bāzār : Four members of a family were killed in Uluchamari Hill landslides in Nila Union.,Four members of a family were killed in Uluchamari Hill landslides in Nila Union.,,50km,landslide,downpour,medium,unknown,4.0,,,,,glc,1979.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,35.22153,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.1571,21.1899,Chittagong
NTV,http://en.ntvbd.com/bangladesh/17930/Mudslide-at-Sylhet-stone-quarry-kills-worker,9333,2016-02-25 13:00:00,,Jaflong,"A worker was killed in a mud collapse at a stone quarry in Jaflong area of Goainghat upazila in Sylhet on Thursday, reports UNB.  Local people said Kamal Mia, aged around 50, resident of Budhigaon village in Goainghat upazila, died on the spot when a chunk of mud collapsed on him while digging out stones at the quarry at about 1:00pm.  Habi Mia alias Chhoto Habi, lease holder of the stone quarry, said they provided Tk50,000 as compensation to the family members of the deceased.  Goainghat police sub-inspector Manjurul said no complaint was lodged yet in connection with the quarry worker’s death.",Jaflong,5km,landslide,mining,small,mine,1.0,0.0,,,,glc,9333.0,Bangladesh,BD,Sylhet,237000.0,Sylhet,32.32367,08/03/2016 01:33:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0104,25.1622,Sylhet
Red Cross - Field reports,http://en.wikipedia.org/wiki/2007_Chittagong_mudslide,85,2007-06-11 00:00:00,,Rangamati,Kaptai Lake overflowed,Rangamati,10km,mudslide,downpour,medium,unknown,3.0,,,,,glc,85.0,Bangladesh,BD,Chittagong,25708.0,Raojān,25.83472,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.1453,22.6368,Chittagong
