event_folder,shapefile_name,event_year,region_hint,label_type,path,training_readiness
unosat_multi_year,NOAA_20200712_20200721_FloodExtent_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\NOAA_20200712_20200721_FloodExtent_Bangladesh.shp,label_only
unosat_multi_year,NOAA_20200723_20200727_FloodExtent_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\NOAA_20200723_20200727_FloodExtent_Bangladesh.shp,label_only
unosat_multi_year,NOAA_20200729_20200802_FloodExtent_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\NOAA_20200729_20200802_FloodExtent_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200709_FloodExtent_Northwestern.shp,2020,northwestern,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200709_FloodExtent_Northwestern.shp,label_only
unosat_multi_year,ST1_20200709_WaterExtent_Northwestern.shp,2020,northwestern,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200709_WaterExtent_Northwestern.shp,label_only
unosat_multi_year,ST1_20200713_FloodExtent_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200713_FloodExtent_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200713_FloodExtent_Mymensingh_Rajshahi_Rangpur.shp,2020,rangpur,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200713_FloodExtent_Mymensingh_Rajshahi_Rangpur.shp,label_only
unosat_multi_year,ST1_20200713_WaterExtent_Bangladesh.shp,2020,bangladesh,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200713_WaterExtent_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200713_WaterExtent_Mymensingh_Rajshahi_Rangpur.shp,2020,rangpur,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200713_WaterExtent_Mymensingh_Rajshahi_Rangpur.shp,label_only
unosat_multi_year,ST1_20200719_FloodExtent_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200719_FloodExtent_Bangladesh.shp,label_only
