region_id,region_name,year,scene_count
gaibandha,Gaibandha,2017,74
gaibandha,Gaibandha,2018,80
gaibandha,Gaibandha,2019,77
gaibandha,Gaibandha,2020,99
gaibandha,Gaibandha,2021,92
gaibandha,Gaibandha,2022,86
gaibandha,Gaibandha,2023,88
gaibandha,Gaibandha,2024,72
gaibandha,Gaibandha,2025,76
jamalpur,Jamalpur,2017,24
jamalpur,Jamalpur,2018,32
jamalpur,Jamalpur,2019,33
jamalpur,Jamalpur,2020,40
jamalpur,Jamalpur,2021,35
jamalpur,Jamalpur,2022,32
jamalpur,Jamalpur,2023,31
jamalpur,Jamalpur,2024,23
jamalpur,Jamalpur,2025,26
kurigram,Kurigram,2017,47
kurigram,Kurigram,2018,52
kurigram,Kurigram,2019,49
kurigram,Kurigram,2020,65
kurigram,Kurigram,2021,56
kurigram,Kurigram,2022,54
kurigram,Kurigram,2023,55
kurigram,Kurigram,2024,48
kurigram,Kurigram,2025,53
sirajganj,Sirajganj,2017,28
sirajganj,Sirajganj,2018,32
sirajganj,Sirajganj,2019,32
sirajganj,Sirajganj,2020,44
sirajganj,Sirajganj,2021,35
sirajganj,Sirajganj,2022,33
sirajganj,Sirajganj,2023,34
sirajganj,Sirajganj,2024,26
sirajganj,Sirajganj,2025,37
sunamganj,Sunamganj,2017,57
sunamganj,Sunamganj,2018,60
sunamganj,Sunamganj,2019,62
sunamganj,Sunamganj,2020,76
sunamganj,Sunamganj,2021,68
sunamganj,Sunamganj,2022,65
sunamganj,Sunamganj,2023,61
sunamganj,Sunamganj,2024,55
sunamganj,Sunamganj,2025,57
sylhet,Sylhet,2017,33
sylhet,Sylhet,2018,28
sylhet,Sylhet,2019,30
sylhet,Sylhet,2020,36
sylhet,Sylhet,2021,33
sylhet,Sylhet,2022,33
sylhet,Sylhet,2023,29
sylhet,Sylhet,2024,32
sylhet,Sylhet,2025,31
